,lahmanID,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,bbrefID
676,677,barroto01,,,1966.0,8.0,17.0,USA,OR,Portland,,,,,,,Tony,Barron,,Anthony Dirk,,185.0,72.0,R,R,6/2/1996,9/28/1997,Willamette,barroto01,barroto01,barrt003,barroto01,barroto01
677,678,,barroed99m,barroed99h,1868.0,5.0,10.0,USA,IL,Springfield,1953.0,12.0,15.0,USA,NY,Port Chester,Ed,Barrow,,Edward Grant,,181.885744235,,,,,,,barroed99,barroed99,barre801,barroed99,barroed99
678,679,barrocu01,,,1883.0,10.0,20.0,USA,ME,Gray,1955.0,2.0,10.0,USA,ME,Gorham,Cuke,Barrows,,Roland,,158.0,68.0,L,R,9/18/1909,9/10/1912,,barrocu01,barrocu01,barrc102,barrocu01,barrocu01
679,680,barrofr01,,,1844.0,10.0,22.0,USA,OH,Hudson,1922.0,2.0,6.0,USA,MA,Fitchburg,Frank,Barrows,,Franklin Lee,,181.885744235,,,,5/20/1871,10/7/1871,,barrofr01,barrofr01,barrf102,barrofr01,barrofr01
680,681,barryed01,,,1882.0,10.0,2.0,USA,WI,Madison,1920.0,6.0,19.0,USA,MA,Montague,Ed,Barry,,Edward,Jumbo,185.0,75.0,,L,8/21/1905,10/4/1907,,barryed01,barryed01,barre101,barryed01,barryed01
681,682,barryha01,,,1891.0,3.0,26.0,USA,CA,Susanville,1969.0,11.0,5.0,USA,NV,Carson City,Hardin,Barry,,Hardin,Finn,185.0,72.0,R,R,6/21/1912,7/13/1912,,barryha01,barryha01,barrh101,barryha01,barryha01
682,683,barryja01,barryja01m,barryja01h,1887.0,4.0,26.0,USA,CT,Meriden,1961.0,4.0,23.0,USA,MA,Shrewsbury,Jack,Barry,,John Joseph,,158.0,69.0,R,R,7/13/1908,6/23/1919,,barryja01,barryja01,barrj104,barryja01,barryja01
683,684,barryje01,,,1969.0,9.0,22.0,USA,OR,Medford,,,,,,,Jeff,Barry,,Jeffrey Finas,,190.0,73.0,B,R,6/9/1995,10/3/1999,San Diego State,barryje01,barryje01,barrj001,barryje01,barryje01
684,685,barryri01,,,1940.0,9.0,12.0,USA,CA,Berkeley,,,,,,,Rich,Barry,,Richard Donovan,,205.0,76.0,R,R,7/4/1969,8/19/1969,,barryri01,barryri01,barrr102,barryri01,barryri01
685,686,barrysh01,,,1878.0,10.0,27.0,USA,NY,Newburgh,1936.0,11.0,27.0,USA,CA,Los Angeles,Shad,Barry,,John C.,,181.885744235,,R,R,5/30/1899,10/7/1908,,barrysh01,barrysh01,barrs101,barrysh01,barrysh01
